armrest_numstrokes,backrest_numstrokes,beak_numstrokes,body_numstrokes,bumper_numstrokes,door_numstrokes,ear_numstrokes,eye_numstrokes,feet_numstrokes,head_numstrokes,headlight_numstrokes,hood_numstrokes,leg_numstrokes,mouth_numstrokes,neck_numstrokes,paw_numstrokes,seat_numstrokes,tail_numstrokes,trunk_numstrokes,unknown_numstrokes,wheel_numstrokes,window_numstrokes,windshield_numstrokes,wing_numstrokes,armrest_total_arclength,backrest_total_arclength,beak_total_arclength,body_total_arclength,bumper_total_arclength,door_total_arclength,ear_total_arclength,eye_total_arclength,feet_total_arclength,head_total_arclength,headlight_total_arclength,hood_total_arclength,leg_total_arclength,mouth_total_arclength,neck_total_arclength,paw_total_arclength,seat_total_arclength,tail_total_arclength,trunk_total_arclength,unknown_total_arclength,wheel_total_arclength,window_total_arclength,windshield_total_arclength,wing_total_arclength
0,0,1,6,0,0,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1371,0,0,0,6,33,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,47,548,0,0,420,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,2,6,4,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,696,0,0,0,24,131,612,0,0,381,0,0,0,0,0,0,0,0,0,0,103
0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,0,0,0,0,168,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1701,0,0,0,0,0,0,0,0,93,0,0,0,0,200,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1284,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,237
0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1368,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,228
0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1272,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,294
0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0
0,0,1,6,0,0,0,2,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,99,2202,0,0,0,98,196,0,0,0,300,0,0,0,0,0,0,0,0,0,0,291
0,0,2,6,0,0,0,2,0,2,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,31,756,0,0,0,14,0,514,0,0,438,0,0,0,0,224,0,0,0,0,0,135
